Attribute,Commodity,Commodity type,Unit,YearType,Year,Value
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2027/28,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2028/29,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2029/30,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2030/31,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2031/32,70
Planted acres,Rice,Crops,Thousand acres,Market year,2020/21,3036
Planted acres,Rice,Crops,Thousand acres,Market year,2021/22,2541
Planted acres,Rice,Crops,Thousand acres,Market year,2022/23,2800
Planted acres,Rice,Crops,Thousand acres,Market year,2023/24,2800
Planted acres,Rice,Crops,Thousand acres,Market year,2024/25,2800
Planted acres,Rice,Crops,Thousand acres,Market year,2025/26,2800
Planted acres,Rice,Crops,Thousand acres,Market year,2026/27,2800
Planted acres,Rice,Crops,Thousand acres,Market year,2027/28,2750
Planted acres,Rice,Crops,Thousand acres,Market year,2028/29,2750
Planted acres,Rice,Crops,Thousand acres,Market year,2029/30,2750
Planted acres,Rice,Crops,Thousand acres,Market year,2030/31,2750
Planted acres,Rice,Crops,Thousand acres,Market year,2031/32,2750
Production,Rice,Crops,Million cwt.,Market year,2020/21,227.6
Production,Rice,Crops,Million cwt.,Market year,2021/22,190.5
Production,Rice,Crops,Million cwt.,Market year,2022/23,211.1
Production,Rice,Crops,Million cwt.,Market year,2023/24,212
Production,Rice,Crops,Million cwt.,Market year,2024/25,213.1
Production,Rice,Crops,Million cwt.,Market year,2025/26,214
Production,Rice,Crops,Million cwt.,Market year,2026/27,214.9
Production,Rice,Crops,Million cwt.,Market year,2027/28,212
Production,Rice,Crops,Million cwt.,Market year,2028/29,212.9
Production,Rice,Crops,Million cwt.,Market year,2029/30,214
Production,Rice,Crops,Million cwt.,Market year,2030/31,214.7
Production,Rice,Crops,Million cwt.,Market year,2031/32,215.7
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2020/21,504
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2021/22,578
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2022/23,525
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2023/24,539
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2024/25,534
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2025/26,539
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2026/27,544
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2027/28,547
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2028/29,550
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2029/30,555
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2030/31,566
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2031/32,566
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2020/21,17.71
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2021/22,14.02
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2022/23,15.08
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2023/24,15.57
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2024/25,16.12
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2025/26,16.11
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2026/27,15.84
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2027/28,15.82
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2028/29,15.92
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2029/30,15.89
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2030/31,15.88
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2031/32,16.18
Supply total,Rice,Crops,Million cwt.,Market year,2020/21,290.3
Supply total,Rice,Crops,Million cwt.,Market year,2021/22,270.2
Supply total,Rice,Crops,Million cwt.,Market year,2022/23,281.1
Supply total,Rice,Crops,Million cwt.,Market year,2023/24,286.3
Supply total,Rice,Crops,Million cwt.,Market year,2024/25,290
Supply total,Rice,Crops,Million cwt.,Market year,2025/26,293.5
Supply total,Rice,Crops,Million cwt.,Market year,2026/27,295.7
Supply total,Rice,Crops,Million cwt.,Market year,2027/28,293.3
Supply total,Rice,Crops,Million cwt.,Market year,2028/29,294.7
Supply total,Rice,Crops,Million cwt.,Market year,2029/30,297
Supply total,Rice,Crops,Million cwt.,Market year,2030/31,298.7
Supply total,Rice,Crops,Million cwt.,Market year,2031/32,300.6
Total use/disposition,Rice,Crops,Million cwt.,Market year,2020/21,246.6
Total use/disposition,Rice,Crops,Million cwt.,Market year,2021/22,237
Total use/disposition,Rice,Crops,Million cwt.,Market year,2022/23,244.3
Total use/disposition,Rice,Crops,Million cwt.,Market year,2023/24,247.8
Total use/disposition,Rice,Crops,Million cwt.,Market year,2024/25,249.8
Total use/disposition,Rice,Crops,Million cwt.,Market year,2025/26,252.8
Total use/disposition,Rice,Crops,Million cwt.,Market year,2026/27,255.3
Total use/disposition,Rice,Crops,Million cwt.,Market year,2027/28,253.3
Total use/disposition,Rice,Crops,Million cwt.,Market year,2028/29,254.3
Total use/disposition,Rice,Crops,Million cwt.,Market year,2029/30,256.3
Total use/disposition,Rice,Crops,Million cwt.,Market year,2030/31,257.8
Total use/disposition,Rice,Crops,Million cwt.,Market year,2031/32,258.8
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2020/21,540
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2021/22,551
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2022/23,558
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2023/24,556
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2024/25,552
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2025/26,551
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2026/27,551
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2027/28,553
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2028/29,554
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2029/30,555
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2030/31,548
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2031/32,553
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2020/21,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2021/22,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2022/23,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2023/24,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2024/25,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2025/26,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2026/27,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2027/28,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2028/29,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2029/30,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2030/31,7
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2031/32,7
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2020/21,7619
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2021/22,7625
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2022/23,7682
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2023/24,7715
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2024/25,7755
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2025/26,7787
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2026/27,7820
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2027/28,7855
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2028/29,7888
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2029/30,7929
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2030/31,7955
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2031/32,7992
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2020/21,30
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2021/22,20
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2022/23,37
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2023/24,32
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2024/25,30
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2025/26,28
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2026/27,31
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2027/28,34
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2028/29,32
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2029/30,30
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2030/31,28
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2031/32,26
Domestic use,Sorghum,Crops,Million bushels,Market year,2020/21,99
Domestic use,Sorghum,Crops,Million bushels,Market year,2021/22,135
Domestic use,Sorghum,Crops,Million bushels,Market year,2022/23,95
Domestic use,Sorghum,Crops,Million bushels,Market year,2023/24,85
Domestic use,Sorghum,Crops,Million bushels,Market year,2024/25,85
Domestic use,Sorghum,Crops,Million bushels,Market year,2025/26,80
Domestic use,Sorghum,Crops,Million bushels,Market year,2026/27,80
Domestic use,Sorghum,Crops,Million bushels,Market year,2027/28,85
Domestic use,Sorghum,Crops,Million bushels,Market year,2028/29,85
Domestic use,Sorghum,Crops,Million bushels,Market year,2029/30,80
Domestic use,Sorghum,Crops,Million bushels,Market year,2030/31,80
Domestic use,Sorghum,Crops,Million bushels,Market year,2031/32,80
Ending stocks,Sorghum,Crops,Million bushels,Market year,2020/21,20
Ending stocks,Sorghum,Crops,Million bushels,Market year,2021/22,37
Ending stocks,Sorghum,Crops,Million bushels,Market year,2022/23,32
Ending stocks,Sorghum,Crops,Million bushels,Market year,2023/24,30
Ending stocks,Sorghum,Crops,Million bushels,Market year,2024/25,28
Ending stocks,Sorghum,Crops,Million bushels,Market year,2025/26,31
Ending stocks,Sorghum,Crops,Million bushels,Market year,2026/27,34
Ending stocks,Sorghum,Crops,Million bushels,Market year,2027/28,32
Ending stocks,Sorghum,Crops,Million bushels,Market year,2028/29,30
Ending stocks,Sorghum,Crops,Million bushels,Market year,2029/30,28
Ending stocks,Sorghum,Crops,Million bushels,Market year,2030/31,26
Ending stocks,Sorghum,Crops,Million bushels,Market year,2031/32,24
Exports,Sorghum,Crops,Million bushels,Market year,2020/21,284
Exports,Sorghum,Crops,Million bushels,Market year,2021/22,320
Exports,Sorghum,Crops,Million bushels,Market year,2022/23,320
Exports,Sorghum,Crops,Million bushels,Market year,2023/24,320
Exports,Sorghum,Crops,Million bushels,Market year,2024/25,320
Exports,Sorghum,Crops,Million bushels,Market year,2025/26,320
Exports,Sorghum,Crops,Million bushels,Market year,2026/27,320
Exports,Sorghum,Crops,Million bushels,Market year,2027/28,320
Exports,Sorghum,Crops,Million bushels,Market year,2028/29,320
Exports,Sorghum,Crops,Million bushels,Market year,2029/30,325
Exports,Sorghum,Crops,Million bushels,Market year,2030/31,325
Exports,Sorghum,Crops,Million bushels,Market year,2031/32,325
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2020/21,5.04
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2021/22,5.45
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2022/23,4.7
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2023/24,4.45
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2024/25,4.25
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2025/26,4.15
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2026/27,3.95
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2027/28,3.95
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2028/29,3.95
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2029/30,3.95
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2030/31,3.95
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2031/32,3.95
Feed & residual,Sorghum,Crops,Million bushels,Market year,2020/21,89
Feed & residual,Sorghum,Crops,Million bushels,Market year,2021/22,125
Feed & residual,Sorghum,Crops,Million bushels,Market year,2022/23,85
Feed & residual,Sorghum,Crops,Million bushels,Market year,2023/24,75
Feed & residual,Sorghum,Crops,Million bushels,Market year,2024/25,75
Feed & residual,Sorghum,Crops,Million bushels,Market year,2025/26,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2026/27,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2027/28,75
Feed & residual,Sorghum,Crops,Million bushels,Market year,2028/29,75
Feed & residual,Sorghum,Crops,Million bushels,Market year,2029/30,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2030/31,70
Feed & residual,Sorghum,Crops,Million bushels,Market year,2031/32,70
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2020/21,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2021/22,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2022/23,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2023/24,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2024/25,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2025/26,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2026/27,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2027/28,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2028/29,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2029/30,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2030/31,10
"Food, seed, & industrial",Sorghum,Crops,Million bushels,Market year,2031/32,10
Harvested acres,Sorghum,Crops,Million acres,Market year,2020/21,5.1
Harvested acres,Sorghum,Crops,Million acres,Market year,2021/22,6.5
Harvested acres,Sorghum,Crops,Million acres,Market year,2022/23,5.9
Harvested acres,Sorghum,Crops,Million acres,Market year,2023/24,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2024/25,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2025/26,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2026/27,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2027/28,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2028/29,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2029/30,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2030/31,5.8
Harvested acres,Sorghum,Crops,Million acres,Market year,2031/32,5.8
Imports,Sorghum,Crops,Million bushels,Market year,2020/21,0
Imports,Sorghum,Crops,Million bushels,Market year,2021/22,0
Imports,Sorghum,Crops,Million bushels,Market year,2022/23,0
Imports,Sorghum,Crops,Million bushels,Market year,2023/24,0
Imports,Sorghum,Crops,Million bushels,Market year,2024/25,0
Imports,Sorghum,Crops,Million bushels,Market year,2025/26,0
Imports,Sorghum,Crops,Million bushels,Market year,2026/27,0
Imports,Sorghum,Crops,Million bushels,Market year,2027/28,0
Imports,Sorghum,Crops,Million bushels,Market year,2028/29,0
Imports,Sorghum,Crops,Million bushels,Market year,2029/30,0
Imports,Sorghum,Crops,Million bushels,Market year,2030/31,0
Imports,Sorghum,Crops,Million bushels,Market year,2031/32,0
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2020/21,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2021/22,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2022/23,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2023/24,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2024/25,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2025/26,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2026/27,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2027/28,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2028/29,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2029/30,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2030/31,2.2
Loan rate,Sorghum,Crops,Dollars per bushel,Market year,2031/32,2.2
Planted acres,Sorghum,Crops,Million acres,Market year,2020/21,5.9
Planted acres,Sorghum,Crops,Million acres,Market year,2021/22,7.3
Planted acres,Sorghum,Crops,Million acres,Market year,2022/23,6.7
Planted acres,Sorghum,Crops,Million acres,Market year,2023/24,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2024/25,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2025/26,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2026/27,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2027/28,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2028/29,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2029/30,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2030/31,6.5
Planted acres,Sorghum,Crops,Million acres,Market year,2031/32,6.5
Production,Sorghum,Crops,Million bushels,Market year,2020/21,373
Production,Sorghum,Crops,Million bushels,Market year,2021/22,471
Production,Sorghum,Crops,Million bushels,Market year,2022/23,410
Production,Sorghum,Crops,Million bushels,Market year,2023/24,403
Production,Sorghum,Crops,Million bushels,Market year,2024/25,403
Production,Sorghum,Crops,Million bushels,Market year,2025/26,403
Production,Sorghum,Crops,Million bushels,Market year,2026/27,403
Production,Sorghum,Crops,Million bushels,Market year,2027/28,403
Production,Sorghum,Crops,Million bushels,Market year,2028/29,403
Production,Sorghum,Crops,Million bushels,Market year,2029/30,403
Production,Sorghum,Crops,Million bushels,Market year,2030/31,403
Production,Sorghum,Crops,Million bushels,Market year,2031/32,403
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2020/21,231
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2021/22,253
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2022/23,183
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2023/24,166
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2024/25,153
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2025/26,148
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2026/27,134
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2027/28,134
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2028/29,133
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2029/30,133
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2030/31,135
Returns over variable costs (net returns),Sorghum,Crops,Dollars per acre,Market year,2031/32,134
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2020/21,5.32
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2021/22,8.1
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2022/23,7.71
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2023/24,7.41
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2024/25,6.91
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2025/26,7.75
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2026/27,8.5
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2027/28,7.9
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2028/29,7.41
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2029/30,6.91
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2030/31,6.42
"Stocks/use ratio, percent",Sorghum,Crops,Percent,Market year,2031/32,5.93
Supply total,Sorghum,Crops,Million bushels,Market year,2020/21,403
Supply total,Sorghum,Crops,Million bushels,Market year,2021/22,492
Supply total,Sorghum,Crops,Million bushels,Market year,2022/23,447
Supply total,Sorghum,Crops,Million bushels,Market year,2023/24,435
Supply total,Sorghum,Crops,Million bushels,Market year,2024/25,433
Supply total,Sorghum,Crops,Million bushels,Market year,2025/26,431
Supply total,Sorghum,Crops,Million bushels,Market year,2026/27,434
Supply total,Sorghum,Crops,Million bushels,Market year,2027/28,437
Supply total,Sorghum,Crops,Million bushels,Market year,2028/29,435
Supply total,Sorghum,Crops,Million bushels,Market year,2029/30,433
Supply total,Sorghum,Crops,Million bushels,Market year,2030/31,431
Supply total,Sorghum,Crops,Million bushels,Market year,2031/32,429
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2020/21,383
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2021/22,455
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2022/23,415
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2023/24,405
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2024/25,405
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2025/26,400
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2026/27,400
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2027/28,405
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2028/29,405
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2029/30,405
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2030/31,405
Total use/disposition,Sorghum,Crops,Million bushels,Market year,2031/32,405
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2020/21,138
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2021/22,141
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2022/23,144
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2023/24,144
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2024/25,142
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2025/26,141
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2026/27,141
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2027/28,141
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2028/29,141
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2029/30,141
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2030/31,139
Variable cost of production (per acre),Sorghum,Crops,Dollars,Market year,2031/32,140
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2020/21,1.88
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2021/22,1.95
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2022/23,2.07
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2023/24,2.07
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2024/25,2.04
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2025/26,2.03
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2026/27,2.02
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2027/28,2.03
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2028/29,2.03
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2029/30,2.03
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2030/31,2
Variable cost of production (per bushel),Sorghum,Crops,Dollars,Market year,2031/32,2.02
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2020/21,73.2
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2021/22,72.3
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2022/23,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2023/24,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2024/25,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2025/26,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2026/27,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2027/28,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2028/29,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2029/30,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2030/31,69.5
Yield/harvested acre,Sorghum,Crops,Bushels per acre,Market year,2031/32,69.5
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2020/21,341
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2021/22,400
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2022/23,400
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2023/24,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2024/25,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2025/26,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2026/27,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2027/28,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2028/29,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2029/30,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2030/31,450
Beginning stocks,Soybean meal,Crops,Thousand short tons,Market year,2031/32,450
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2020/21,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2021/22,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2022/23,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2023/24,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2024/25,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2025/26,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2026/27,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2027/28,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2028/29,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2029/30,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2030/31,47
Crushing yields,Soybean meal,Crops,Pounds per bushel,Market year,2031/32,47
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2020/21,37450
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2021/22,37900
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2022/23,38650
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2023/24,39425
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2024/25,40225
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2025/26,40925
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2026/27,41575
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2027/28,42200
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2028/29,42800
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2029/30,43400
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2030/31,44000
Domestic use,Soybean meal,Crops,Thousand short tons,Market year,2031/32,44600
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2020/21,400
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2021/22,400
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2022/23,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2023/24,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2024/25,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2025/26,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2026/27,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2027/28,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2028/29,450
Ending stocks,Soybean meal,Crops,Thousand short tons,Market year,2029/30,450
